id,title,genre,description
2294,Godzilla (Gojira),Action|Sci-Fi,<Godzilla (Gojira)> is a Japanese science-fiction film from 1954 directed by Ishirō Honda.
2295,Godzilla (Gojira),Action|Sci-Fi,<Godzilla (Gojira) > is a Japanese science-fiction film that serves as a direct sequel to the original 1954 <Godzilla> film.
2296,King Kong vs. Godzilla (Kingukongu tai Gojira),Action|Sci-Fi,"The movie <King Kong vs. Godzilla> is about the epic battle between two giant monsters, King Kong and Godzilla. The story begins with a pharmaceutical company searching for a way to boost their ratings by finding a large creature to use in their advertisements. They come across King Kong on a remote island and bring him back to Japan. Meanwhile, Godzilla awakens from his slumber and starts to wreak havoc on the country. The two monsters eventually meet and engage in a fierce battle, causing destruction and chaos in their wake. In the end, it is unclear who emerges as the ultimate victor."
2297,King Kong,Action|Adventure|Horror,<King Kong > is a classic adventure film about a group of explorers who travel to a mysterious island and encounter a giant gorilla named Kong.
2298,King Kong,Action|Adventure|Horror,"<King Kong > is a remake of the classic 1933 film, and it tells the story of an ambitious oil executive, Fred Wilson, who leads an expedition to a mysterious, uncharted island called Skull Island."
2299,King Kong Lives,Action|Adventure|Horror,"<King Kong Lives> is a sequel to the 1976 film <King Kong>, in which a female Kong is discovered and brought to a laboratory to be given a heart transplant from the original Kong."
2300,Desperately Seeking Susan,Comedy|Romance,<Desperately Seeking Susan> is a comedy-drama film from 1985 that follows the story of a bored housewife named Roberta who becomes obsessed with a mysterious woman named Susan after reading about her in the personal ads.
2301,"Emerald Forest, The",Action|Adventure|Drama,The movie <Emerald Forest> is a 1985 adventure drama film directed by John Boorman.
2302,Fletch,Comedy,"<Fletch> is a comedy film from 1985 starring Chevy Chase as Irwin <Fletch> Fletcher, an investigative reporter who goes undercover to expose a drug trafficking ring."
2303,Fletch Lives,Comedy,is a comedy film released in 1989..
2304,Red Sonja,Action|Adventure,"<Red Sonja> is a fantasy adventure film about a skilled swordswoman named Red Sonja who seeks revenge on the evil queen Gedren, who had destroyed her homeland and killed her family."
2305,Gung Ho,Comedy|Drama,"<Gung Ho> is a comedy-drama movie from 1986, directed by Ron Howard and starring Michael Keaton."
2306,"Money Pit, The",Comedy,"The movie <Money Pit, The > is a comedy film about a couple who purchase a seemingly perfect house at a bargain price, only to discover that the house is a complete disaster and requires extensive repairs."
2307,"View to a Kill, A",Action,<A View to a Kill> is a James Bond movie released in 1985.
2308,Lifeforce,Horror|Sci-Fi,<Lifeforce> is a science fiction horror film from 1985 about a group of astronauts who discover an alien spacecraft hidden inside Halley's Comet.
2309,Police Academy,Comedy,<Police Academy > is a comedy film about a group of misfit police recruits who attend the Police Academy to become police officers.
2310,Police Academy 2: Their First Assignment,Comedy,<Police Academy 2: Their First Assignment> is a comedy film that follows a group of misfit police officers who are sent to a newly established precinct to clean up the crime-ridden streets.
2311,Police Academy 3: Back in Training,Comedy,<Police Academy 3: Back in Training> is a comedy movie that follows the story of a group of police officers who are sent back to the academy to improve their skills.
2312,Police Academy 4: Citizens on Patrol,Comedy,<Police Academy 4: Citizens on Patrol> is a comedy film that follows the misadventures of a group of misfit police officers as they train a group of civilians to become volunteer officers.
2313,Police Academy 5: Assignment: Miami Beach,Comedy,<Police Academy 5: Assignment: Miami Beach> is a comedy film that follows the bumbling officers of the Police Academy as they head to Miami Beach for a convention.
2314,Police Academy 6: City Under Siege,Comedy,<Police Academy 6: City Under Siege> is a comedy film that follows the misadventures of a group of bumbling police officers as they try to stop a crime wave that has hit the city.
2315,Babe: Pig in the City,Children's|Comedy,<Babe: Pig in the City> is a sequel to the 1995 film <Babe>.
2316,Home Fries,Comedy|Romance,<Home Fries> is a romantic comedy film about a young woman named Sally who works at a local fast food restaurant.
2317,Jerry Springer: Ringmaster,Drama,"<Jerry Springer: Ringmaster> is a documentary-style film that follows the behind-the-scenes action of <The Jerry Springer Show,> a controversial talk show that features guests with outrageous and often scandalous stories."
2318,Very Bad Things,Comedy|Crime,<Very Bad Things> is a dark comedy thriller about a group of friends who accidentally kill a prostitute during a bachelor party in Las Vegas.
2319,Steam: The Turkish Bath (Hamam),Drama|Romance,<Steam: The Turkish Bath> is a 1997 Italian-Turkish drama film directed by Ferzan Özpetek.
2320,Psycho,Crime|Horror|Thriller,<Psycho > is a remake of the classic 1960 horror film directed by Alfred Hitchcock.
2321,Little Voice,Comedy,<Little Voice> is a British comedy-drama film about a shy and introverted young woman named LV who has a remarkable talent for impersonating famous singers.
2322,"Simple Plan, A",Crime|Thriller,"<A Simple Plan> is a 1998 thriller movie directed by Sam Raimi and starring Bill Paxton, Billy Bob Thornton, and Bridget Fonda."
2323,Jack Frost,Comedy|Drama,"<Jack Frost > is a comedy-drama film that follows the story of a man named Jack Frost, who is a musician and a neglectful father."
2324,Star Trek: Insurrection,Action|Sci-Fi,<Star Trek: Insurrection> is a science fiction movie that follows the crew of the USS Enterprise as they discover a plot by the Federation to forcibly relocate a peaceful alien race from their home planet in order to exploit the planet's unique properties.
2325,"Prince of Egypt, The",Animation|Musical,"The movie <Prince of Egypt> is an animated musical film that tells the story of Moses, an Israelite who was adopted by the Pharaoh's daughter and raised as an Egyptian prince."
2326,Rushmore,Comedy,<Rushmore> is a coming-of-age comedy-drama film directed by Wes Anderson.
2327,Shakespeare in Love,Comedy|Romance,"<Shakespeare in Love> is a romantic comedy-drama film that tells the fictional story of William Shakespeare, a struggling playwright who falls in love with Viola de Lesseps, a wealthy woman who longs to become an actress."
2328,Mass Appeal,Drama,<Mass Appeal> is a 1984 film about a young seminarian named Mark Dolson who is assigned to work with a charismatic and popular priest named Father Farley.
2329,Miracle on 34th Street,Drama,<Miracle on 34th Street> is a classic Christmas movie about a man named Kris Kringle who claims to be the real Santa Claus.
2330,Santa Claus: The Movie,Adventure|Children's|Fantasy,"<Santa Claus: The Movie> is a Christmas fantasy film that tells the story of Santa Claus, from his origins as a humble toymaker to his rise as the beloved figure of Christmas."
2331,Prancer,Children's|Drama,<Prancer> is a Christmas-themed movie that tells the story of a young girl named Jessica who finds a wounded reindeer in the woods and believes it to be one of Santa's reindeer.
2332,Pale Rider,Western,<Pale Rider> is a Western movie directed by and starring Clint Eastwood.
2333,Rambo: First Blood Part II,Action|War,"In <Rambo: First Blood Part II >, John Rambo is released from prison to carry out a top-secret mission to locate American prisoners of war believed to still be held captive in Vietnam."
2334,First Blood,Action,<First Blood> is a movie about a former Green Beret named John Rambo who is arrested and mistreated by a small town sheriff and his deputies.
2335,Rambo III,Action|War,"<Rambo III> is an action movie starring Sylvester Stallone as John Rambo, a former Green Beret and Vietnam War veteran."
2336,"Jewel of the Nile, The",Action|Adventure|Comedy|Romance,"<The Jewel of the Nile> is a 1985 action-adventure film that follows the story of romance novelist Joan Wilder, who travels to North Africa with her boyfriend Jack Colton to help a sheikh find a precious jewel."
2337,Romancing the Stone,Action|Adventure|Comedy|Romance,<Romancing the Stone> is a romantic adventure comedy film released in 1984.
2338,Cocoon,Comedy|Sci-Fi,<Cocoon> is a science fiction film that tells the story of a group of elderly people living in a retirement home in Florida who discover a pool with rejuvenating powers.
2339,Cocoon: The Return,Comedy|Sci-Fi,<Cocoon: The Return> is a sci-fi comedy-drama film that follows a group of elderly people who are given a second chance at youth by friendly aliens.
2340,Rocky II,Action|Drama,<Rocky II> is a sports drama film about a boxer named Rocky Balboa who struggles to adapt to his new life outside of the boxing ring.
2341,Rocky III,Action|Drama,"<Rocky III> is a sports drama film that follows the story of Rocky Balboa, a former boxing champion who has lost his edge and is struggling to find a new purpose in life."
2342,Rocky IV,Action|Drama,"<Rocky IV> is a sports drama film that follows the story of Rocky Balboa, a former heavyweight boxing champion, who decides to fight against Ivan Drago, a Soviet boxer, after his friend Apollo Creed is killed in a match with Drago."
2343,Rocky V,Action|Drama,"<Rocky V> is a sports drama film that follows the story of Rocky Balboa, a retired boxer who returns to his old neighborhood in Philadelphia after suffering brain damage from his last fight."
2344,Clue,Comedy|Mystery,<Clue> is a comedy-mystery movie based on the popular board game of the same name.
2345,Young Sherlock Holmes,Action|Adventure|Mystery,<Young Sherlock Holmes> is a fantasy mystery film that follows a teenage Sherlock Holmes and his friend John Watson as they investigate a series of bizarre murders that seem to be connected to an ancient Egyptian cult.
2346,Violets Are Blue...,Drama|Romance,"<Violets Are Blue> is a romantic drama film about two childhood sweethearts, Gussie and Henry, who reunite 15 years after their high school graduation."
2347,Back to School,Comedy,<Back to School> is a comedy film from 1986 about a wealthy businessman named Thornton Melon (played by Rodney Dangerfield) who decides to enroll in college to help his struggling son.
2348,Heartburn,Comedy|Drama,<Heartburn > is a romantic comedy-drama film based on Nora Ephron's semi-autobiographical novel.
2349,Nothing in Common,Comedy,"<Nothing in Common> is a comedy-drama movie from 1986 that follows the story of David Basner (played by Tom Hanks), a successful ad executive in Chicago who has a strained relationship with his aging father, Max (played by Jackie Gleason), who lives in Florida."
2350,Extremities,Drama|Thriller,"<Extremities> is a thriller movie that tells the story of Marjorie, a young woman who is attacked and nearly raped by a stranger in her own home."
2351,"Karate Kid, The",Drama,<The Karate Kid>  is a coming-of-age story about a teenager named Daniel LaRusso who moves to California with his mother and struggles to fit in.
2352,"Karate Kid, Part II, The",Action|Adventure|Drama,"<The Karate Kid, Part II> is a 1986 martial arts drama film and a sequel to the popular 1984 film <The Karate Kid>."
2353,"Karate Kid III, The",Action|Adventure|Drama,"<Karate Kid III> is a martial arts film that follows the story of Daniel LaRusso, who is convinced by his former enemy, John Kreese, to re-enter the world of karate."
2354,Christmas Vacation,Comedy,"<Christmas Vacation> is a comedy film that follows the story of Clark Griswold, a man who wants to create the perfect family Christmas."
2355,You've Got Mail,Comedy|Romance,"<You've Got Mail> is a romantic comedy film about two business rivals, Kathleen Kelly (Meg Ryan) and Joe Fox (Tom Hanks), who unknowingly fall in love with each other through anonymous email conversations."
2356,"General, The",Crime,"<The General> is a 1998 biographical crime film about the life of Martin Cahill, an Irish criminal who became a folk hero in Dublin during the 1980s."
2357,"Theory of Flight, The",Comedy|Drama|Romance,<The Theory of Flight> is a British comedy-drama film that follows the story of a woman named Jane who has a neurodegenerative disease called ALS.
2358,"Thin Red Line, The",Action|Drama|War,"<The Thin Red Line> is a war movie released in 1998, directed by Terrence Malick."
2359,"Faculty, The",Horror|Sci-Fi,<The Faculty> is a 1998 science fiction horror film about a group of high school students who discover that their teachers are aliens attempting to take over their school and eventually the world.
2360,Mighty Joe Young,Adventure|Children's|Drama,<Mighty Joe Young> is a movie about a young woman named Jill Young who raises a giant gorilla named Joe in Africa.
2361,Mighty Joe Young,Adventure|Children's|Drama,<Mighty Joe Young> is a classic adventure film about a giant gorilla named Joe who is brought to America from Africa by a young woman named Jill.
2362,Patch Adams,Comedy|Drama,"<Patch Adams> is a 1998 movie based on the true story of a medical student named Hunter <Patch> Adams, who believes in treating patients with humor and compassion rather than just medicine."
2363,Stepmom,Drama,"<Stepmom> is a drama film that follows the story of a divorced couple, Luke Harrison and Jackie, who have two children."
2364,"Civil Action, A",Drama,"<A Civil Action> is a 1998 American legal drama film directed by Steven Zaillian and starring John Travolta, Robert Duvall, and William H."
2365,Down in the Delta,Drama,<Down in the Delta> is a drama film directed by Maya Angelou and starring Alfre Woodard.
2366,Hurlyburly,Drama,"<Hurlyburly> is a drama film that follows the lives of several Hollywood players who struggle with addiction, relationships, and the meaning of life."
2367,Tea with Mussolini,Comedy,<Tea with Mussolini> is a 1999 movie directed by Franco Zeffirelli.
2368,Wilde,Drama,<Wilde> is a biographical drama film released in 1997 that tells the story of the famous Irish poet and playwright Oscar Wilde.
2369,Outside Ozona,Drama|Thriller,<Outside Ozona> is a 1998 thriller film directed by J.
2370,Affliction,Drama,"<Affliction> is a psychological drama film that follows Wade Whitehouse, a small-town sheriff in New Hampshire, who becomes obsessed with solving a case involving a hunting accident."
2371,Another Day in Paradise,Drama,"<Another Day in Paradise> is a crime drama film that follows the story of a group of drug-addicted thieves led by a seasoned criminal named Mel, who take a young couple under their wing and teach them the ropes of the criminal lifestyle."
2372,"Hi-Lo Country, The",Drama|Western,<The Hi-Lo Country> is a Western drama film set in post-World War II New Mexico.
2373,Hilary and Jackie,Drama,<Hilary and Jackie> is a biographical drama film that tells the story of the British cellist Jacqueline du Pré and her relationship with her sister Hilary.
2374,Playing by Heart,Drama|Romance,"<Playing by Heart> is a romantic drama movie that follows the lives of several interconnected characters in Los Angeles as they navigate through love, loss, and relationships."
2375,24 7: Twenty Four Seven,Comedy|Drama,<24 7: Twenty Four Seven> is a British drama film about a working-class community in a small town in England.
2376,At First Sight,Drama,<At First Sight> is a romantic drama film released in 1999.
2377,In Dreams,Thriller,<In Dreams> is a psychological horror film about a woman named Claire (played by Annette Bening) who starts having vivid and disturbing dreams about a missing girl.
2378,Varsity Blues,Comedy|Drama,<Varsity Blues> is a coming-of-age sports drama film about a high school football team in a small Texas town.
2379,Virus,Horror|Sci-Fi,<Virus> is a science-fiction horror movie released in 1999.
2380,"Garbage Pail Kids Movie, The",Adventure|Children's,The Garbage Pail Kids Movie is a comedy-horror film that follows the adventures of a young boy named Dodger who befriends a group of grotesque and mischievous creatures known as the Garbage Pail Kids.
2381,Howard the Duck,Adventure|Children's|Sci-Fi,<Howard the Duck> is a sci-fi comedy film about a sarcastic humanoid duck named Howard who is accidentally transported to Earth from his home planet.
2382,"Gate, The",Horror,<The Gate> is a horror movie from 1987 about two young boys who accidentally open a gate to hell in their backyard.
2383,"Gate II: Trespassers, The",Horror,The movie <Gate II: Trespassers> is a horror film about two teenage friends who discover a mysterious hole in their backyard that leads to another dimension.
2384,"Boy Who Could Fly, The",Drama|Fantasy,<The Boy Who Could Fly> is a 1986 fantasy-drama film about a young boy named Eric who believes he can fly.
2385,"Fly, The",Horror|Sci-Fi,<The Fly>  is a horror film about a scientist who accidentally merges with a housefly during a teleportation experiment.
2386,"Fly, The",Horror|Sci-Fi,<The Fly> is a science-fiction horror film from 1986 directed by David Cronenberg.
2387,"Fly II, The",Horror|Sci-Fi,<The Fly II> is a 1989 science fiction horror film and a sequel to the 1986 film <The Fly>.
2388,Running Scared,Action|Comedy,<Running Scared > is a buddy cop comedy film about two Chicago police detectives who decide to retire and move to Florida.
2389,Armed and Dangerous,Comedy|Crime,"<Armed and Dangerous> is a comedy film about two incompetent security guards, Frank and Norman, who are fired from their jobs and become unlikely heroes when they stumble upon a corrupt scheme involving their former employer."
2390,"Texas Chainsaw Massacre, The",Horror,<The Texas Chainsaw Massacre> is a horror movie that follows a group of friends who encounter a family of cannibals while on a road trip in rural Texas.
2391,"Texas Chainsaw Massacre 2, The",Horror,"The movie <Texas Chainsaw Massacre 2> is a horror film that follows a radio DJ and a Texas Ranger as they investigate a series of grisly murders committed by the cannibalistic Sawyer family, including the infamous Leatherface."
2392,Leatherface: Texas Chainsaw Massacre III,Horror,<Leatherface: Texas Chainsaw Massacre III> is a horror movie that follows a couple on a road trip who become stranded in the woods of Texas.
2393,"Return of the Texas Chainsaw Massacre, The",Horror,<The Return of the Texas Chainsaw Massacre>  is a horror movie that follows the story of a group of friends who travel to Texas to find out what happened to a grandmother they never knew they had.
2394,Ruthless People,Comedy,<Ruthless People> is a comedy film from 1986 about a wealthy but obnoxious businessman named Sam Stone (played by Danny DeVito) who plans to murder his wife Barbara (played by Bette Midler) in order to collect a large ransom from her wealthy father.
2395,Trick or Treat,Horror,<Trick or Treat> is a horror comedy movie from 1986 that follows the story of a high school student named Eddie Weinbauer who is a big fan of a heavy metal musician named Sammi Curr.
2396,Deadly Friend,Horror,<Deadly Friend> is a horror movie from 1986 directed by Wes Craven.
2397,Belizaire the Cajun,Drama,"<Belizaire the Cajun> is a drama film set in 1850s Louisiana, USA."
2398,"Name of the Rose, The",Mystery,<The Name of the Rose> is a movie based on the novel of the same name by Umberto Eco.
2399,Jumpin' Jack Flash,Action|Comedy|Romance|Thriller,<Jumpin' Jack Flash> is a comedy film from 1986 starring Whoopi Goldberg.
2400,Peggy Sue Got Married,Comedy|Romance,<Peggy Sue Got Married> is a comedy-drama film directed by Francis Ford Coppola.
2401,Crocodile Dundee,Adventure|Comedy,<Crocodile Dundee> is a comedy-adventure film about an Australian bushman named Mick Dundee who travels to New York City with a journalist named Sue Charlton.
2402,Crocodile Dundee II,Adventure|Comedy,<Crocodile Dundee II> is a sequel to the 1986 film <Crocodile Dundee>.
2403,Tough Guys,Comedy,"<Tough Guys>  is a comedy film about two elderly ex-cons, Harry Doyle (Burt Lancaster) and Archie Long (Kirk Douglas), who are released from prison after serving 30 years for a train robbery."
2404,Soul Man,Comedy,"<Soul Man> is a comedy film from 1986 about a white college student, Mark Watson, who pretends to be African American in order to qualify for a scholarship to Harvard Law School."
2405,"Color of Money, The",Drama,<The Color of Money> is a drama film directed by Martin Scorsese and starring Paul Newman and Tom Cruise.
2406,52 Pick-Up,Action|Mystery|Thriller,<52 Pick-Up> is a crime thriller film directed by John Frankenheimer.
2407,Heartbreak Ridge,Action|War,<Heartbreak Ridge> is a 1986 American war film directed by Clint Eastwood.
2408,Firewalker,Adventure,"<Firewalker> is an action-adventure comedy film from 1986, directed by J."
2409,Three Amigos!,Comedy|Western,<Three Amigos!> is a comedy film about three silent film actors who are mistaken for real heroes by the people of a small Mexican village.
2410,Gloria,Drama|Thriller,"<Gloria> is a crime thriller film released in 1999, directed by Sidney Lumet."
2411,Dry Cleaning (Nettoyage à sec),Drama,<Dry Cleaning> (Nettoyage à sec) is a French drama film released in 1997.
2412,My Name Is Joe,Drama|Romance,<My Name Is Joe> is a British drama film directed by Ken Loach and released in 1998.
2413,Still Crazy,Comedy|Romance,<Still Crazy> is a British comedy film about a 1970s rock band called <Strange Fruit> who reunite after 20 years to perform at a music festival.
2414,"Day of the Beast, The (El Día de la bestia)",Comedy|Horror|Thriller,"The movie <Day of the Beast, The (El Día de la bestia) > is a Spanish horror-comedy film about a Catholic priest who believes that the Antichrist will be born on Christmas Day in Madrid."
2415,Tinseltown,Comedy,Tinseltown is a hilarious journey that promises to leave the audience in splits.
2416,She's All That,Comedy|Romance,"<She's All That> is a romantic comedy film about a popular high school jock named Zack Siler who accepts a bet to turn the nerdy, unpopular art student named Laney Boggs into the prom queen."
2417,24-hour Woman,Drama,"<24-hour Woman> is a comedy-drama film that follows the life of Grace Santos, a successful television producer who struggles to balance her career and her family life."
2418,"Blood, Guts, Bullets and Octane",Action|Comedy,"<Blood, Guts, Bullets and Octane> is a 1998 independent film directed by Joe Carnahan."
2419,Peeping Tom,Drama|Horror|Thriller,"<Peeping Tom> is a psychological thriller film from 1960, directed by Michael Powell."
2420,Spanish Fly,Drama,<Spanish Fly> is a romantic comedy film about a young American woman named Stella who travels to Spain to attend a wedding.
2421,Payback,Action|Thriller,<Payback> is a 1999 crime thriller movie directed by Brian Helgeland.
2422,Simply Irresistible,Comedy|Romance,<Simply Irresistible> is a romantic comedy film from 1999 about a struggling chef named Amanda who inherits her mother's restaurant.
2423,20 Dates,Comedy,<20 Dates > is a romantic comedy film about a young man named Myles who embarks on a journey to find true love by going on 20 dates in one night.
2424,"Harmonists, The",Drama,<The Harmonists> is a German movie based on the true story of a successful a cappella group in the 1930s.
2425,"Last Days, The",Documentary,<The Last Days> is a documentary film that explores the experiences of five Hungarian Jews during the Holocaust.
2426,"Fantastic Planet, The (La Planète sauvage)",Animation|Sci-Fi,<Fantastic Planet> is an animated science fiction film from 1973 that takes place on a distant planet called Ygam.
2427,Blast from the Past,Comedy|Romance,"<Blast from the Past> is a romantic comedy film that tells the story of Adam Webber, a man who has spent his entire life in a fallout shelter with his parents, believing that a nuclear war had devastated the world."
2428,Message in a Bottle,Romance,<Message in a Bottle> is a romantic drama film about a woman named Theresa (played by Robin Wright) who discovers a love letter in a bottle on the beach.
2429,My Favorite Martian,Comedy|Sci-Fi,<My Favorite Martian> is a comedy film about a Martian named Zoot who crash-lands on Earth and befriends a television reporter named Tim.
2430,God Said 'Ha!',Comedy,<God Said 'Ha!'> is a comedy-drama film directed by and starring Julia Sweeney.
2431,Jawbreaker,Comedy,"<Jawbreaker> is a 1999 black comedy film about a group of high school girls who accidentally kill their best friend, and then try to hide the crime by pretending it was an accident."
2432,October Sky,Drama,"<October Sky> is a biographical drama film based on the true story of Homer Hickam, a coal miner's son who becomes interested in rocketry after seeing the Soviet satellite Sputnik 1 in the sky."
2433,Office Space,Comedy|Romance,"<Office Space> is a comedy film that follows the life of Peter Gibbons, a man who hates his job at a software company and feels unfulfilled."
2434,"Apple, The (Sib)",Drama,<The Apple> is a 1998 Iranian film directed by Samira Makhmalbaf.
2435,200 Cigarettes,Comedy|Drama,<200 Cigarettes> is a comedy film set in New York City on New Year's Eve in 1981.
2436,8MM,Thriller,<8MM> is a thriller movie directed by Joel Schumacher.
2437,"Other Sister, The",Comedy|Drama|Romance,<The Other Sister> is a romantic comedy-drama film that tells the story of a mentally disabled young woman named Carla Tate who wants to live an independent life and find love.
2438,Breakfast of Champions,Comedy,<Breakfast of Champions> is a 1999 film adaptation of the Kurt Vonnegut novel of the same name.
2439,"Breaks, The",Drama,<The Breaks> is a 1999 comedy film directed by Eric Meza.
2440,Eight Days a Week,Comedy,Eight Days a Week is a hilarious journey that promises to leave the audience in splits.
2441,Just the Ticket,Comedy|Romance,<Just the Ticket> is a romantic comedy film released in 1999.
2442,"Long Goodbye, The",Crime,<The Long Goodbye> is a neo-noir film directed by Robert Altman and based on the novel of the same name by Raymond Chandler.
2443,"Ballad of Narayama, The (Narayama Bushiko)",Drama,<The Ballad of Narayama> is a Japanese film set in a remote mountain village where the inhabitants follow a tradition of sending their elderly to the top of a nearby mountain to die when they reach the age of 70.
2444,Pet Sematary,Horror,<Pet Sematary> is a horror movie based on Stephen King's novel of the same name.
2445,Pet Sematary II,Horror,<Pet Sematary II > is a horror movie about a teenage boy named Jeff who moves to a small town in Maine with his father after the death of his mother.
2446,Children of the Corn II: The Final Sacrifice,Horror,<Children of the Corn II: The Final Sacrifice> is a horror movie that follows a journalist named John Garrett who investigates a series of murders in a small town called Gatlin.
2447,Children of the Corn III,Horror,<Children of the Corn III> is a horror movie that follows a young couple who stumble upon a small town in Nebraska where all the adults have been killed by the children.
2448,Christine,Horror,<Christine> is a horror movie based on a novel by Stephen King.
2449,Night Shift,Comedy,"<Night Shift> is a comedy film directed by Ron Howard and starring Henry Winkler, Michael Keaton, and Shelley Long."
2450,House on Haunted Hill,Horror,<House on Haunted Hill>  is a horror movie about a millionaire named Frederick Loren who invites five people to spend the night in a supposedly haunted house.
2451,Airport,Drama,"<Airport> is a disaster film released in 1970 that follows the story of an airport manager, Mel Bakersfeld, who must deal with a series of crises during a busy winter season."
2452,Airport 1975,Drama,<Airport 1975> is a disaster film that follows the story of a mid-air collision between a Boeing 747 and a small private plane.
2453,Airport '77,Drama,Airport '77 is a disaster movie about a hijacked luxury airliner that crashes into the ocean.
2454,Rollercoaster,Drama|Thriller,<Rollercoaster> is a thriller movie from 1977 directed by James Goldstone.
2455,"Towering Inferno, The",Action|Drama,The movie <Towering Inferno> is about a massive fire that breaks out in a newly constructed skyscraper in San Francisco.
2456,Alligator,Action|Horror|Sci-Fi,<Alligator> is a horror movie from 1980 about a baby alligator that is flushed down the toilet and ends up living and growing in the sewers beneath a major city.
2457,Meteor,Sci-Fi,<Meteor > is a disaster film about a massive asteroid that is on a collision course with Earth.
2458,Westworld,Action|Sci-Fi|Thriller|Western,"<Westworld > is a science fiction movie about a futuristic amusement park where guests can live out their fantasies in three different themed worlds: Roman World, Medieval World, and Westworld."
2459,Logan's Run,Action|Adventure|Sci-Fi,<Logan's Run> is a science fiction film set in a future society where people are only allowed to live until the age of 30.
2460,Planet of the Apes,Action|Sci-Fi,<Planet of the Apes> is a science fiction film about a group of astronauts who crash land on a planet where apes are the dominant species and humans are primitive and enslaved.
2461,Beneath the Planet of the Apes,Action|Sci-Fi,<Beneath the Planet of the Apes> is a science fiction film that takes place after the events of the first <Planet of the Apes> movie.
2462,Battle for the Planet of the Apes,Action|Sci-Fi,<Battle for the Planet of the Apes> is a science fiction film that takes place in a post-apocalyptic future where humans and intelligent apes coexist.
2463,Conquest of the Planet of the Apes,Action|Sci-Fi,"<Conquest of the Planet of the Apes> is a science fiction movie that takes place in the year 1991, where apes have become household pets after a virus wiped out all cats and dogs."
2464,Escape from the Planet of the Apes,Action|Sci-Fi,<Escape from the Planet of the Apes> is a science fiction movie released in 1971.
2465,Avalanche,Action,<Avalanche>  is a disaster movie about a luxurious ski resort that is threatened by an impending avalanche.
2466,Earthquake,Action,<Earthquake > is a disaster film that revolves around a catastrophic earthquake that strikes Los Angeles.
2467,"Concorde: Airport '79, The",Drama,"<Concorde: Airport '79> is an action disaster film about a group of terrorists who plant a bomb on the Concorde, a supersonic passenger jet, in order to extort a ransom from the airline."
2468,Beyond the Poseidon Adventure,Adventure,<Beyond the Poseidon Adventure> is a disaster movie sequel to the 1972 film <The Poseidon Adventure>.
2469,Dancemaker,Documentary,<Dancemaker> is a documentary film that follows the life and work of choreographer Paul Taylor.
2470,Analyze This,Comedy,<Analyze This> is a comedy movie about a successful psychiatrist named Dr.
2471,"Corruptor, The",Action|Crime|Drama|Thriller,<The Corruptor> is a crime thriller movie released in 1999.
2472,Cruel Intentions,Drama,"<Cruel Intentions> is a 1999 teen drama film about a wealthy and manipulative step-siblings, Sebastian and Kathryn, who make a bet to seduce and ruin the lives of two innocent people, Annette and Cecile."
2473,"Lock, Stock & Two Smoking Barrels",Comedy|Crime|Thriller,"<Lock, Stock & Two Smoking Barrels> is a British crime-comedy film directed by Guy Ritchie."
2474,Six Ways to Sunday,Comedy,<Six Ways to Sunday> is a dark comedy film about a young Jewish man named Harry Odum who becomes involved with a violent gangster family in New York City.
2475,"School of Flesh, The (L' École de la chair)",Drama,The movie <School of Flesh> is a French drama film that tells the story of a successful businesswoman named Dominique who falls in love with a young bisexual man named Quentin.
2476,Relax... It's Just Sex,Comedy," is a comedy-drama film that follows the lives of several interconnected characters living in Los Angeles. The movie explores themes of love, sex, and relationships as the characters navigate their way through various challenges and obstacles. The film also touches on issues such as racism, homophobia, and AIDS.."
2477,"Deep End of the Ocean, The",Drama,The movie <Deep End of the Ocean>  is a drama about a family whose three-year-old son disappears while they are attending a high school reunion.
2478,Harvest,Drama,"<Harvest> is a drama film released in 1998, directed by Stuart Burkin and starring James Van Der Beek, Lolita Davidovich, and Jeffrey DeMunn."
2479,"Rage: Carrie 2, The",Horror,<The Rage: Carrie 2> is a horror movie that tells the story of a teenage girl named Rachel Lang who possesses telekinetic powers.
2480,Wing Commander,Action|Sci-Fi,<Wing Commander> is a science fiction film set in the 27th century.
2481,"Haunting, The",Horror|Thriller,<The Haunting> is a horror movie from 1963 directed by Robert Wise.
2482,Dead Ringers,Drama|Thriller,<Dead Ringers> is a psychological thriller film directed by David Cronenberg.
2483,My Boyfriend's Back,Comedy,"<My Boyfriend's Back> is a romantic comedy horror film about a high school student named Johnny who dies trying to save his childhood sweetheart, Missy, from a robber."
2484,Village of the Damned,Horror|Sci-Fi|Thriller,<Village of the Damned> is a science fiction horror movie from 1960.
2485,Children of the Damned,Horror|Sci-Fi|Thriller,<Children of the Damned> is a science fiction horror film about a group of six children from different parts of the world who possess extraordinary mental abilities.
2486,Baby Geniuses,Comedy,The movie <Baby Geniuses > is about a group of babies who are secretly super intelligent and are able to communicate with each other in a special language.
2487,Telling You,Comedy|Drama|Romance,"<Telling You> is a romantic comedy-drama film about two best friends, Phil and Dennis, who are recent college graduates struggling to find direction in their lives."
2488,I Stand Alone (Seul contre tous),Drama,<I Stand Alone> is a French psychological drama film directed by Gaspar Noé.
2489,Forces of Nature,Comedy|Romance,Forces of Nature  is a romantic comedy film about a man named Ben who is on his way to his wedding when his flight is canceled due to a hurricane.
2490,"King and I, The",Animation|Children's,<The King and I> is a musical film adaptation of the famous Broadway musical of the same name.
